package name,package version(s),MSC ID's
capacitor-plugin-ihealth,1.1.9,MSC-2025-8185
capacitor-plugin-vonage,1.0.2,MSC-2025-8210
capacitor-plugin-vonage,1.0.3,MSC-2025-8215
capacitorandroidpermissions,0.0.4,MSC-2025-8209
capacitorandroidpermissions,0.0.5,MSC-2025-8198
config-cordova,0.8.5,MSC-2025-8213
cordova-plugin-voxeet2,1.0.24,MSC-2025-8212
cordova-voxeet,1.0.32,MSC-2025-8206
create-hest-app,0.1.9,MSC-2025-8191
db-evo,1.1.4,MSC-2025-8204
db-evo,1.1.5,MSC-2025-8207
devextreme-angular-rpk,21.2.8,MSC-2025-8195
ember-browser-services,5.0.2,MSC-2025-8179
ember-browser-services,5.0.3,MSC-2025-8497
ember-headless-form,1.1.2,MSC-2025-8174
ember-headless-form,1.1.3,MSC-2025-8508
ember-headless-form-yup,1.0.1,MSC-2025-8161
ember-headless-table,2.1.5,MSC-2025-8168
ember-headless-table,2.1.6,MSC-2025-8509
ember-url-hash-polyfill,1.0.12,MSC-2025-8175
ember-url-hash-polyfill,1.0.13,MSC-2025-8510
ember-velcro,2.2.1,MSC-2025-8167
ember-velcro,2.2.2,MSC-2025-8511
encounter-playground,0.0.2,MSC-2025-8171
encounter-playground,0.0.3,MSC-2025-8170
encounter-playground,0.0.4,MSC-2025-8018
encounter-playground,0.0.5,MSC-2025-8011
eslint-config-crowdstrike,11.0.2,MSC-2025-8165
eslint-config-crowdstrike,11.0.3,MSC-2025-8514
eslint-config-crowdstrike-node,4.0.3,MSC-2025-8172
eslint-config-crowdstrike-node,4.0.4,MSC-2025-8515
eslint-config-teselagen,6.1.7,MSC-2025-8163
eslint-config-teselagen,6.1.8,MSC-2025-8166
globalize-rpk,1.7.4,MSC-2025-8160
graphql-sequelize-teselagen,5.3.8,MSC-2025-8152
graphql-sequelize-teselagen,5.3.9,MSC-2025-8157
html-to-base64-image,1.0.2,MSC-2025-8153
json-rules-engine-simplified,0.2.1,MSC-2025-8006
jumpgate,0.0.2,MSC-2025-8159
koa2-swagger-ui,5.11.1,MSC-2025-8024
koa2-swagger-ui,5.11.2,MSC-2025-8512
mcfly-semantic-release,1.3.1,MSC-2025-8149
mcp-knowledge-base,0.0.2,MSC-2025-8147
mcp-knowledge-graph,1.2.1,MSC-2025-8145
mobioffice-cli,1.0.3,MSC-2025-8143
monorepo-next,13.0.1,MSC-2025-8142
monorepo-next,13.0.2,MSC-2025-8513
mstate-angular,0.4.4,MSC-2025-8144
mstate-cli,0.4.7,MSC-2025-8146
mstate-dev-react,1.1.1,MSC-2025-8141
mstate-react,1.6.5,MSC-2025-8140
ng2-file-upload,7.0.2,MSC-2025-8113
ng2-file-upload,7.0.3,MSC-2025-8498
ng2-file-upload,8.0.1,MSC-2025-8104
ng2-file-upload,8.0.2,MSC-2025-8111
ng2-file-upload,8.0.3,MSC-2025-8106
ng2-file-upload,9.0.1,MSC-2025-8103
ngx-bootstrap,18.1.4,MSC-2025-8107
ngx-bootstrap,19.0.3,MSC-2025-8105
ngx-bootstrap,19.0.4,MSC-2025-8224
ngx-bootstrap,20.0.3,MSC-2025-8120
ngx-bootstrap,20.0.4,MSC-2025-8102
ngx-bootstrap,20.0.5,MSC-2025-8116
ngx-color,10.0.1,MSC-2025-8021
ngx-color,10.0.2,MSC-2025-8023
ngx-toastr,19.0.1,MSC-2025-8022
ngx-toastr,19.0.2,MSC-2025-8493
ngx-trend,8.0.1,MSC-2025-8005
ngx-ws,1.1.5,MSC-2025-8130
ngx-ws,1.1.6,MSC-2025-8139
oradm-to-gql,35.0.14,MSC-2025-8132
oradm-to-gql,35.0.15,MSC-2025-8134
oradm-to-sqlz,1.1.2,MSC-2025-8125
oradm-to-sqlz,1.1.3,MSC-2025-8131
oradm-to-sqlz,1.1.4,MSC-2025-8123
oradm-to-sqlz,1.1.5,MSC-2025-8129
ove-auto-annotate,0.0.9,MSC-2025-8138
ove-auto-annotate,0.0.10,MSC-2025-8121
pm2-gelf-json,1.0.4,MSC-2025-8127
pm2-gelf-json,1.0.5,MSC-2025-8126
printjs-rpk,1.6.1,MSC-2025-8124
react-complaint-image,0.0.32,MSC-2025-8015
react-jsonschema-form-conditionals,0.3.18,MSC-2025-8017
remark-preset-lint-crowdstrike,4.0.1,MSC-2025-8135
remark-preset-lint-crowdstrike,4.0.2,MSC-2025-8499
rxnt-authentication,0.0.3,MSC-2025-7997
rxnt-authentication,0.0.4,MSC-2025-7991
